id,nama,rating,review,waktu
ChdDSUhNMG9nS0VJQ0FnSUMtcmRLbG5RRRAB,Muhammad Fadriansyah, 4 bintang ,Tempatnya bagus!!!,5 hari lalu
ChdDSUhNMG9nS0VJQ0FnSURCaTRpQ2lRRRAB,Kiki Rizki, 5 bintang ,Fasilitasnya yang harus di perbaiki liftnya sik. Lama banget,6 hari lalu
ChZDSUhNMG9nS0VJQ0FnSURCczVielBREAE,Damar Jati, 5 bintang ,Mantap 👍🏼 …,6 hari lalu
ChdDSUhNMG9nS0VJQ0FnSURCazgyVHhnRRAB,Nafi'ah Aini, 5 bintang ,"Bapak, Ibu yangbaq temui di lantai 2 ramah2, pas aku mau bikin kartu Keanggotaan Perpus🙏😊👍trimakasih Bapak, ibu,.. …",seminggu lalu
ChdDSUhNMG9nS0VJQ0FnSURCdzh2RC1BRRAB,sulistiawati 74, 5 bintang ,Sangat edukatif buat anak-anak agar cinta ilmu dan sejarah,seminggu lalu
ChdDSUhNMG9nS0VJQ0FnSURCdy1iNmxRRRAB,Syahidah Izzati, 5 bintang ,Nyaman banget tempatnya ❣️,seminggu lalu
ChZDSUhNMG9nS0VJQ0FnSURCdzR6d0pREAE,Sierra, 5 bintang ,"nyaman, luas, bersih",seminggu lalu
ChZDSUhNMG9nS0VJQ0FnSURCZzdYVlVBEAE,Erwin rachman, 5 bintang ,,seminggu lalu
ChZDSUhNMG9nS0VJQ0FnSURCX2FQTmJnEAE,Nathaniel Bonardo, 5 bintang ,,seminggu lalu
ChdDSUhNMG9nS0VJQ0FnSURCX2ZiOXhRRRAB,Titut Festyanto, 5 bintang ,"That was a good place to get many ways of information by gathering many books but, one thing must have an IMMEDIATE improvement for their lift facility very poorly

(Diterjemahkan oleh Google)
Itu adalah tempat yang bagus untuk mendapatkan banyak informasi dengan mengumpulkan banyak buku tetapi, satu hal yang harus diperbaiki SEGERA untuk fasilitas lift mereka sangat buruk",seminggu lalu
ChZDSUhNMG9nS0VJQ0FnSURCOWJibFJBEAE,abel Abraham, 5 bintang ,Bagus tempat oke buat belajar atau buat baca baca pelayanan juga mantap,seminggu lalu
ChdDSUhNMG9nS0VJQ0FnSURCOWNTQ2xnRRAB,Satrio Bintang Hutomo, 5 bintang ,"(Diterjemahkan oleh Google) Tugas, kerja, nongkrong nyaman di rumah

(Asli)
Nugas, kerja, nongkrong nyaman bangget pokonamah",seminggu lalu
ChdDSUhNMG9nS0VJQ0FnSURCdGN1UXFnRRAB,Tiffanny Aditya, 5 bintang ,,seminggu lalu
ChdDSUhNMG9nS0VJQ0FnSURCdFpLcDlRRRAB,Septian Maulid Tiwar, 5 bintang ,,seminggu lalu
ChdDSUhNMG9nS0VJQ0FnSURCdGVpdGtRRRAB,Muhammad Fadliansyah Ramadhan, 4 bintang ,tambahin lift dong kak🙏 …,seminggu lalu
ChZDSUhNMG9nS0VJQ0FnSURCbGRPSVdBEAE,Alwi Maulana, 5 bintang ,"Pelayanan bagus, tempat bersih dan nyaman, koleksi buku lengkap, musholla nyaman",seminggu lalu
ChdDSUhNMG9nS0VJQ0FnSURCcFo3RV9BRRAB,Maura Kintani, 5 bintang ,,seminggu lalu
ChdDSUhNMG9nS0VJQ0FnSURCaFllN3R3RRAB,Frederikh Yusakh M S, 5 bintang ,,seminggu lalu
ChdDSUhNMG9nS0VJQ0FnSURCaFpYVnl3RRAB,Sahril ali, 5 bintang ,Bagus tempat nya nyaman.. buat semangat baca buku,seminggu lalu
ChZDSUhNMG9nS0VJQ0FnSURCaGRuZFdnEAE,Dede MlyanaTV, 5 bintang ,,seminggu lalu
ChdDSUhNMG9nS0VJQ0FnSURCaGVpWm53RRAB,Rizal La ode, 5 bintang ,Sangat bagus,seminggu lalu
ChZDSUhNMG9nS0VJQ0FnSUNtLUltdU9nEAE,Harits Harifan Alfikri, 5 bintang ,,seminggu lalu
ChdDSUhNMG9nS0VJQ0FnSURCcVlITzlBRRAB,Rifa Syafiqah, 4 bintang ,,seminggu lalu
ChZDSUhNMG9nS0VJQ0FnSURCcWZ6NlhREAE,Aliza Natasya Putri, 4 bintang ,"Museumnya indah, perpusnya rapih banget. Hanya saja ketika weekend, liftnya selalu penuh, jadi sangat menghabiskan waktu untuk menunggu lift. Tapi untuk buku² dan suasananya oke. Want to come back.",seminggu lalu
ChdDSUhNMG9nS0VJQ0FnSURCcVlqbmdBRRAB,Z R Frila P N, 5 bintang ,"SUPERB ⭐⭐⭐⭐⭐

(Diterjemahkan oleh Google)
LUAR BIASA ⭐⭐⭐⭐⭐",seminggu lalu
ChZDSUhNMG9nS0VJQ0FnSURvaXJYeGVnEAE,Supriadi Hadi Mulyono, 5 bintang ,"Terletak di samping Balai Kota Jakarta di sekitar Monumen Nasional, Jakarta Pusat. Tidak jauh dari perpustakaan terdapat salah satu pusat kuliner di Jalan Sabang, vanyak sekali pilihan makanan enak pinggir jalan dan restaurant disana.Terdapat Masjid yang cukup nyaman di lantai 6. Gedung perpustakaan ini menjadi salah satu gedung perpustakaan tertinggi di dunia. Semoga bisa menjadi penyemangat warga ibukota untuk membaca.",seminggu lalu
ChdDSUhNMG9nS0VJQ0FnSURCaWM3YXF3RRAB,Arie Dwi Sulthoni, 5 bintang ,"Keren banget, minus liftnya yang rame banget sih. Harus antre lama kadang.",seminggu lalu
ChZDSUhNMG9nS0VJQ0FnSURCOGVidFJ3EAE,Meilia Citra, 5 bintang ,"Perpustakaan yang punya view bagus banget
Bisa lihat monas dari rooftoopnya
Fasilitas lengkap
Ada loker, ruang baca yang nyaman dan luas, mushola, kantin, toilet, taman yang bisa buat ngobrol ngobrol santai🥰",seminggu lalu
ChRDSUhNMG9nS0VJQ0FnSURCOGN4TBAB,Lawa Nando, 5 bintang ,,seminggu lalu
ChdDSUhNMG9nS0VJQ0FnSURCMGZlMnF3RRAB,leonita setyawati, 5 bintang ,,seminggu lalu
ChdDSUhNMG9nS0VJQ0FnSURCb2JMZV9BRRAB,gheninggghippongs wimar84, 5 bintang ,,seminggu lalu
ChdDSUhNMG9nS0VJQ0FnSURCb1lMNHdBRRAB,selva prasanti, 5 bintang ,,seminggu lalu
ChZDSUhNMG9nS0VJQ0FnSURCb2JqamNREAE,Fifi Kurniawan, 5 bintang ,,seminggu lalu
ChZDSUhNMG9nS0VJQ0FnSURCb2VqRlJBEAE,John Smith, 5 bintang ,,seminggu lalu
ChdDSUhNMG9nS0VJQ0FnSURCd2J2MGdnRRAB,Lina Kurnia, 5 bintang ,,seminggu lalu
ChZDSUhNMG9nS0VJQ0FnSURCd2R2SmRBEAE,Agita Lutfiana, 5 bintang ,,seminggu lalu
ChZDSUhNMG9nS0VJQ0FnSURCd2MyM2JBEAE,Atiqah Aufa A., 5 bintang ,,seminggu lalu
ChdDSUhNMG9nS0VJQ0FnSURCd2MzOXlnRRAB,Vunchy, 5 bintang ,bagus bangett,seminggu lalu
ChdDSUhNMG9nS0VJQ0FnSURCd1pXcnRBRRAB,PRAKOSO BODOXS (BODOK), 5 bintang ,Tempat untuk menimba ilmu pengetahuan,seminggu lalu
ChZDSUhNMG9nS0VJQ0FnSURCd2ZtaGJBEAE,Hafsyah iga Syabrina, 5 bintang ,,seminggu lalu
ChdDSUhNMG9nS0VJQ0FnSURCd2RHcGpRRRAB,friska febriani, 1 bintang ,2x kesini mau pinjem buku ga bisa pertama dateng ga bisa pinjem buku karna belum cetak kartu anggota. Kedua kali dateng ga bisa pinjem lagi karna domisili bukan jabodetabek .... Luas biasa sekali kan,seminggu lalu
ChZDSUhNMG9nS0VJQ0FnSURCd2I3d01BEAE,Andy Aulya Nur Ali, 5 bintang ,,seminggu lalu
ChdDSUhNMG9nS0VJQ0FnSURCd1o2ajJnRRAB,Dewi Arianaa, 5 bintang ,,seminggu lalu
ChdDSUhNMG9nS0VJQ0FnSURCZ2F2TTFBRRAB,Adrianus, 1 bintang ,"The lifts are super packed, overcrowded.

(Diterjemahkan oleh Google)
Liftnya sangat padat, penuh sesak.",seminggu lalu
ChdDSUhNMG9nS0VJQ0FnSURCZ2VHdW9RRRAB,Meiska Fetesta, 5 bintang ,,2 minggu lalu
ChdDSUhNMG9nS0VJQ0FnSUNLejhEYnVBRRAB,Luthfi Azizah Firdaus, 5 bintang ,,2 minggu lalu
ChdDSUhNMG9nS0VJQ0FnSURCbnRPcjB3RRAB,Qayla zhr29, 3 bintang ,,2 minggu lalu
ChdDSUhNMG9nS0VJQ0FnSURCbnJLVXd3RRAB,Venna Patricia, 5 bintang ,"buat anak jakarta (dan sekitar) yang laptopnya rusak dan butuh banget buat nugas, ruang multimedia di sini bs jadi alternatif. internetnya kuenceng pol, layarnya lebar, buka sampai jam setengah 9 malam. gratis sampe emoh. cumannya minum sama makan harus dititip di luar.

petugas di sini jg baik2 dan helpful. klo mau minjem buku bisa banget, bikin kartu dlu tapi nanti dipotoin, jangan lupa senyum

gedungnya juga bagus, bersih, kalo km kutu buku pasti bahagia sih di sini",2 minggu lalu
ChdDSUhNMG9nS0VJQ0FnSURCbnNLamp3RRAB,Irfan Nur Fajri, 3 bintang ,,2 minggu lalu
ChdDSUhNMG9nS0VJQ0FnSURCbnNqSHBBRRAB,Anggraeini, 5 bintang ,Nyaman belajar disini👍🏻 …,2 minggu lalu
ChdDSUhNMG9nS0VJQ0FnSURCanMtYjRnRRAB,Rhesa AK, 5 bintang ,"Bagus sih Bisa jadikan Tempat meet-time+nongkrong""disana bareng Teman/Sahabat",2 minggu lalu
ChZDSUhNMG9nS0VJQ0FnSURCdHRma2VnEAE,M.Alkadien Zakaria, 5 bintang ,,2 minggu lalu
ChZDSUhNMG9nS0VJQ0FnSURCdHUzWVlnEAE,Irwan Junaedi, 5 bintang ,"Tempat nyaman, besar, Koleksi buku lengkap, pelayanan bagus, ramah. Hanya saja perkara lift benar-benar menjadi permasalahan besar. Lift penuh, antrean panjang, ada escalator cuma sampai lantai 4. Naik tangga lewat pintu darurat, ternyata pas sampai pintu yg dituju terkunci. Duh... mau menuju lantai yg dituju aja sampai setengah jam sendiri....",2 minggu lalu
ChZDSUhNMG9nS0VJQ0FnSURCeHN1WGNBEAE,agung setyadi, 5 bintang ,"Akses liftnya wadidaw sekali, terlebih di waktu ramai pengunjung.",2 minggu lalu
ChZDSUhNMG9nS0VJQ0FnSURCeHBYM0tREAE,Bunga Aisyah Anindita, 5 bintang ,"love this place!!!

(Diterjemahkan oleh Google)
suka tempat ini!!!",2 minggu lalu
ChZDSUhNMG9nS0VJQ0FnSURCeHNqTWVnEAE,Fathimah Azzahra, 5 bintang ,"Tempat adem, full AC, bersih, tiap lantai ada toilet, ada ruang khusus belajar, ruang diskusi, ruang bermain dan bercerita untuk anak, masjid dan kantin.",2 minggu lalu
ChdDSUhNMG9nS0VJQ0FnSURCLXNILTF3RRAB,teguh wawan, 5 bintang ,Bangunan relatif baru & kebersihan terjaga,2 minggu lalu
ChZDSUhNMG9nS0VJQ0FnSURCNE5xYmJnEAE,Annabel Moore, 4 bintang ,,2 minggu lalu
ChZDSUhNMG9nS0VJQ0FnSURCMnA3MklREAE,Atika Basyasyah, 5 bintang ,,2 minggu lalu
ChZDSUhNMG9nS0VJQ0FnSURCMnJTMU5BEAE,Muhammad Sirril Asror, 5 bintang ,Desain interior dan luasnya ga ada obat,2 minggu lalu
ChZDSUhNMG9nS0VJQ0FnSURCMnVESUpREAE,El Ha, 5 bintang ,"Perpustakaan yang banyak ruang terbuka, banyak spot untuk duduk2 mengobrol dan membaca buku dengan tenang, selain itu perpustakaan ini Ramah anak apalagi di lantai 7 khusus anak. Tersedia banyak buku2 menarik untuk anak. Dan anak bisa membaca, bermain dengan nyaman. Dilantai 7 juga tersedia toilet khusus anak dan mushola.
Jadi ga perlu pindah lantai untuk ke mushola.

Kantinnya juga lengkap dan murah. Ada di lantai 4. Tapi kalau musim liburan sangat ramai, dan kurang nyaman saat antri lift karena sangat penuh.
Namun untuk keseluruhan fasilitas di perpustakaan nasional ini sangat baik.",2 minggu lalu
ChZDSUhNMG9nS0VJQ0FnSURCMnFEc0hBEAE,Hambigguh, 5 bintang ,"Though it was full of people dating back when i visited this place a year ago. This place is of course, astounding. It has a great internal architecture with giant bookshelf in the middle, making it seems grand and huge. You can also access nation's archive, where i was searching for, and find something most people probably not know about! Though you must be prepared, which is knowing what title of the archive you are going to search.

(Diterjemahkan oleh Google)
Meskipun penuh dengan orang-orang yang berkencan ketika saya mengunjungi tempat ini setahun yang lalu. Tempat ini tentu saja mencengangkan. Ini memiliki arsitektur internal yang bagus dengan rak buku raksasa di tengahnya, membuatnya tampak megah dan besar. Anda juga dapat mengakses arsip negara, tempat saya mencari, dan menemukan sesuatu yang mungkin tidak diketahui kebanyakan orang! Padahal Anda harus siap, yaitu mengetahui judul arsip apa yang akan Anda cari.",2 minggu lalu
ChZDSUhNMG9nS0VJQ0FnSURCbXFYMkJnEAE,yeni sami, 5 bintang ,,2 minggu lalu
ChdDSUhNMG9nS0VJQ0FnSURCbXFhVTRBRRAB,Ichsanie Assyifa, 5 bintang ,,2 minggu lalu
ChdDSUhNMG9nS0VJQ0FnSURCaXV6NTVBRRAB,Subhan Hasan, 5 bintang ,Tempatnya nyaman dan ok banget,2 minggu lalu
ChZDSUhNMG9nS0VJQ0FnSURCOHZYdkhnEAE,viska anggita, 5 bintang ,,2 minggu lalu
ChdDSUhNMG9nS0VJQ0FnSURCOG9UNnBnRRAB,Nano 88, 5 bintang ,,2 minggu lalu
ChdDSUhNMG9nS0VJQ0FnSURCc3BIUHF3RRAB,Beni Agustan, 5 bintang ,"suasana nyaman untuk membaca, muantapp",2 minggu lalu
ChdDSUhNMG9nS0VJQ0FnSURCNHVlQ3FRRRAB,Nisrina Raihani, 4 bintang ,,2 minggu lalu
ChdDSUhNMG9nS0VJQ0FnSURCNHR1UzhBRRAB,Muhamad Erwin Ferdiansyah, 5 bintang ,"Pengalaman pertama yang bagus.. Tempat nyaman internet mantep.. Ada banyak ruang yang fungsinya berbeda beda dan semuanya overall bagus..
But maybe bisa adain mushola tiap lantai agar engga perlu ke lantai 6 karena sering penuh terus lift nya..
Tapi semuanya oke sih..
Oiya cetak kartu anggota nya juga gampang dan pelayanan staff khusus nya keamanan nya juga bagus dan heppi",2 minggu lalu
ChZDSUhNMG9nS0VJQ0FnSURCNHNyM05BEAE,Restu Pratiwi, 5 bintang ,"Baru pernah ke lantai 7 dan 24. So far so good. Kecuali untuk lift nya, mudah2an bisa sebanding dg banyaknya pengunjung.",2 minggu lalu
ChZDSUhNMG9nS0VJQ0FnSURCNHF6WFhnEAE,Siti maria Ulpa, 5 bintang ,,2 minggu lalu
ChZDSUhNMG9nS0VJQ0FnSURCb3RfUFl3EAE,Bima Mahardika01, 5 bintang ,Kebal resing,2 minggu lalu
ChZDSUhNMG9nS0VJQ0FnSURCb3RHSlNnEAE,Nirmala, 5 bintang ,,2 minggu lalu
ChdDSUhNMG9nS0VJQ0FnSURCd3BpRml3RRAB,Nurul Hidayah, 4 bintang ,"Perpus paling nyaman di jakarta versiku. Suasana nyaman dan tenang untuk baca buku, belajar, ataupun bekerja. Banyak pilihan buku. Pemandangan dari lantai 20 keatas cantik sekali. Tersedia kantin dan mushola. Minusnya cuma 1, liftnya lama banget huhu, jadi mending keluar 1 jam sebelum perpustakaan tutup untuk menghindari antri lift yang lama naudzubilla  h, jika listrik sudah dipadamkan dan lift mati, situasi terburuknya kita harus pake tangga darurat untuk turun ke lantai 1.",2 minggu lalu
ChZDSUhNMG9nS0VJQ0FnSURCX00tR1lnEAE,yoga Pratama, 5 bintang ,,2 minggu lalu
ChdDSUhNMG9nS0VJQ0FnSURCX0tLd3hnRRAB,Abdul Muhyidin, 5 bintang ,,2 minggu lalu
ChZDSUhNMG9nS0VJQ0FnSURCX1BDaWRBEAE,Kartika Aryadiny, 4 bintang ,"Sangat baik jakarta sudah punya perpustakaan terbuka untuk umum, semoga kedepannya dapat dimanfaatkan semaksimal mungkin, seperti negara lain yang membuka perpustakaan sampai malam. Untuk kebersihan toilet tolong lebih di perhatikan lagi.",2 minggu lalu
ChdDSUhNMG9nS0VJQ0FnSURCdlAtT3RBRRAB,Aviyu Nekha H5-06, 5 bintang ,"Kesini untuk pertama kalinya.
Pertama-tama masuk dan menitipkan barang di resepsionis (entah wajib atau tidak). Lalu ke lantai atas untuk membuat kartu anggota, kuota perhari 300 kartu (ketika itu). Siapkan tanda pengenal. Daftar pada komouter yang tersedia lalu cetak kartu anggota. Nantinya kita akan difoto untuk kartu tersebut (siapkan pemampilan).  Lalu kartu jadi..

Saya ke lantai 19 (ruang multimedia)
Nanti kartu anggota discan, terdapat 2 ruangan. 1. Ruangan dengan komputer 2. Ruangan tanpa komputer.

Untuk ruangan komputer kita bisa kerja santai dengan wifi yang tersedia (ketika itu wifinya lambat). Ada pilihan kursi dan lesehan. Stop kontak pun aman. Ada mushola dengan view yang indah.

Kapan-kapan mau main lagi kesana.
Thx",2 minggu lalu
ChZDSUhNMG9nS0VJQ0FnSURCdkxmZlJ3EAE,nrhmdh, 5 bintang ,,2 minggu lalu
ChdDSUhNMG9nS0VJQ0FnSURCdkxEam13RRAB,destar nj, 5 bintang ,,2 minggu lalu
ChdDSUhNMG9nS0VJQ0FnSURCM0l1TjB3RRAB,achmat isrokim, 5 bintang ,Rekomendasi untuk pencarian buku,2 minggu lalu
ChZDSUhNMG9nS0VJQ0FnSURCckp6VERBEAE,Najla Nur Fauziyah, 5 bintang ,,3 minggu lalu
ChZDSUhNMG9nS0VJQ0FnSURCekpfbmZ3EAE,Vanessa, 5 bintang ,,3 minggu lalu
ChZDSUhNMG9nS0VJQ0FnSURCek9YbEFREAE,Ujang Rusmana, 5 bintang ,"Keren pokoknya, yuk ke Perpusnas",3 minggu lalu
ChZDSUhNMG9nS0VJQ0FnSURCekppeFBREAE,Jasmine, 5 bintang ,,3 minggu lalu
ChdDSUhNMG9nS0VJQ0FnSURCak8tQXFRRRAB,松井ひろたか, 5 bintang ,"(Diterjemahkan oleh Google) Perpustakaan ini berada di seberang Monas.
Namun, saya tidak mengerti bahasa Indonesia jadi saya tidak terlalu menikmatinya.

Lingkungannya luar biasa, dan ada juga ruang makan di lantai paling atas.

(Asli)
モナスの向かい側にあるこちらの図書館。
しかし、インドネシア語がわからなかったのであまり楽しめませんでした。

環境は抜群で、最上階には食堂も完備されてます。",3 minggu lalu
ChdDSUhNMG9nS0VJQ0FnSURCak5lbm5nRRAB,waode marsina, 5 bintang ,"Firstime kesini dan langsung suka
Bakal jadi tempat favorit buat metime sih",3 minggu lalu
ChZDSUhNMG9nS0VJQ0FnSURCdEtENkV3EAE,Raihana, 4 bintang ,,3 minggu lalu
ChdDSUhNMG9nS0VJQ0FnSURCbEktcTBRRRAB,Jennifer Lizardi, 5 bintang ,"Perpusnas layak disebut sebagai pusat koleksi seni dan sastra nasional. Bangunan setinggi 24 lantai ini tidak hanya berisi macam-macam buku, tetapi ada juga beragam karya seni seperti lukisan, alat musik, patung, dan lain sebagainya yang tersebar di beberapa lantai.

Perpusnas juga menyediakan fasilitas-fasilitas lain mulai dari kantin, ruang komputer, ruang baca hingga rooftop. Terkadang ada pula pameran di waktu-waktu tertentu. Namun perlu diperhatikan bahwa lift-lift di sini agak kecil dan eskalator hanya sampai di lantai 4.",3 minggu lalu
ChZDSUhNMG9nS0VJQ0FnSURCbFB5a1B3EAE,Dewi Putri Aprianti Asuro, 5 bintang ,,3 minggu lalu
ChZDSUhNMG9nS0VJQ0FnSURCNUtPeUZnEAE,Wahyu Wastuti, 5 bintang ,Tempat yg nyaman,3 minggu lalu
ChdDSUhNMG9nS0VJQ0FnSURCeE9IWnN3RRAB,Kenari Flower, 5 bintang ,,3 minggu lalu
ChZDSUhNMG9nS0VJQ0FnSURCaElESVl3EAE,Husni Mubarok, 5 bintang ,Sangat baik.,3 minggu lalu
ChdDSUhNMG9nS0VJQ0FnSURCLU1Qb2d3RRAB,Friz, 5 bintang ,,3 minggu lalu
ChZDSUhNMG9nS0VJQ0FnSURCLU5YNGZREAE,Nur Fajriah Shulhusiah, 5 bintang ,,3 minggu lalu
ChZDSUhNMG9nS0VJQ0FnSURCLU16alF3EAE,Martina evi, 5 bintang ,"Perpustakaan yang sangat nyaman untuk skripsian, nyaman, pelayanannya oke bgt, akses informasi ketersediaan buku yang dicari juga mudah banget melalui website, meminjam atau mengembalikan buku juga mudah, satu saran aja untuk liftnya bisa diperbanyak karna perpustakaanya setiap hari selalu ramai",3 minggu lalu
ChdDSUhNMG9nS0VJQ0FnSURCdVBXTjlBRRAB,Siti Mariam, 5 bintang ,"Tempatnya nyaman sekali, hanya saja harus ekstra sabar jika ingin naik lift",3 minggu lalu
ChdDSUhNMG9nS0VJQ0FnSURCdU9TYjBnRRAB,Ahmad Riyadi, 5 bintang ,"Tempat membaca/perpustakaan yg paling nyaman se indonesia menurut saya
Semua ruang ber ac bersih rapih
Ada beberapa ruang/lantai di batasi jam operasionalnya
Masuk kesini gratis
Ada kantin di atas lantai 4
Klo musim liburan malah ramai di sini
Akomodasi ke sini mudah",3 minggu lalu
ChdDSUhNMG9nS0VJQ0FnSURCNk1xRDJnRRAB,Natasha Irene, 4 bintang ,"Huge library 24 lantai, koleksi buku banyak tapi blm sempat baca karen udh capek duluan nunggu liftnya 😅. Lift ada 6 tapi lama nunggunya dan selalu penuh, sedangkan, eskalator hanya smpai lantai 4 dan buku2 koleksi ada di lt. 12 keatas. Ada loker untuk penyimpanan jd gk perlu bawa barang2 banyak ke atas. Sinyal sangat sulit, tp bisa menggunakan wifi perpus. Kantin harga standar, tapi menu kurang beragam.

Saran:
-mohon agar bisa menambahkan kuota antrian untuk bikin kartu, kuota hanya 300 perhari dan jam 2 sudah habis.. hrs tunggu smpe jam 4 untuk bisa dilayani lagi.
-mohon bisa diatur agar lift bisa cepat digunakan, karena banyak orang yg bahkan masuk ikut lift turun dulu buat naik keatas agar bisa dpt tempat",3 minggu lalu
ChZDSUhNMG9nS0VJQ0FnSURCcUxEZUp3EAE,Edel Trudizh, 5 bintang ,"Pertama kali ke sini, langsung jatuh cinta. Maklum, saya tipe orang yang hobi banget baca buku. Sayangnya waktu itu belum bisa eksplorasi lebih jauh karena waktu yang terbatas. Ke sini untuk ikut peluncuran novel teman-teman. Next time haru balik ke sini lagi. Ini tempat recommended bangat.",3 minggu lalu
ChZDSUhNMG9nS0VJQ0FnSURCeU5mNGRnEAE,Vidi Pihdi, 5 bintang ,,3 minggu lalu
ChdDSUhNMG9nS0VJQ0FnSURCeUtmaGx3RRAB,Della Wiyanti, 5 bintang ,,3 minggu lalu
ChZDSUhNMG9nS0VJQ0FnSURCaUpDWFJnEAE,Natanael Iyandra, 5 bintang ,Pindah dari Salemba ke sini. Makin keren :),3 minggu lalu
ChZDSUhNMG9nS0VJQ0FnSURCOElxcU53EAE,Izzah Cheeva Anbiya, 5 bintang ,,3 minggu lalu
